Iteration,Verse,Scheduled,Read,Notes
2016,Judges 9;Psalm 113;1 Corinthians 3-4,04/23/2016,07/10/2016,-
2016,Judges 10-11;Psalm 114;1 Corinthians 5-6,04/24/2016,07/10/2016,-
2016,Judges 12-13;Psalm 115;1 Corinthians 7,04/25/2016,07/10/2016,-
2016,Judges 14-15;Psalm 116;1 Corinthians 8-9,04/26/2016,07/10/2016,-
2016,Judges 16-17;Psalm 117;1 Corinthians 10,04/27/2016,07/10/2016,-
2016,Judges 18-19;Psalm 118;1 Corinthians 11,04/28/2016,07/10/2016,-
2016,Judges 20-21;Psalm 119:1-88;1 Corinthians 12,04/29/2016,07/10/2016,-
2016,Ruth 1-4;Psalm 119:89-176;1 Corinthians 13,04/30/2016,07/10/2016,-
2016,1 Samuel 1-2;Psalm 120;1 Corinthians 14,05/01/2016,07/10/2016,-
2016,1 Samuel 3-4;Psalm 121;1 Corinthians 15,05/02/2016,07/10/2016,-
2016,1 Samuel 5-6;Psalm 122;1 Corinthians 16,05/03/2016,07/10/2016,-
2016,1 Samuel 7-8;Psalm 123;2 Corinthians 1,05/04/2016,07/10/2016,-
2016,1 Samuel 9-10;Psalm 124;2 Corinthians 2-3,05/05/2016,07/10/2016,-
2016,1 Samuel 11-12;Psalm 125;2 Corinthians 4-5,05/06/2016,07/10/2016,-
2016,1 Samuel 13-14;Psalm 126;2 Corinthians 6-7,05/07/2016,07/10/2016,-
2016,1 Samuel 15-16;Psalm 127;2 Corinthians 8,05/08/2016,07/10/2016,-
2016,1 Samuel 17;Psalm 128;2 Corinthians 9-10,05/09/2016,07/10/2016,-
2016,1 Samuel 18-19;Psalm 129;2 Corinthians 11,05/10/2016,07/10/2016,-
2016,1 Samuel 20-21;Psalm 130;2 Corinthians 12,05/11/2016,07/10/2016,-
2016,1 Samuel 22-23;Psalm 131;2 Corinthians 13,05/12/2016,07/10/2016,-
2016,1 Samuel 24-25;Psalm 132;Galatians 1-2,05/13/2016,07/10/2016,-
2016,1 Samuel 26-27;Psalm 133;Galatians 3-4,05/14/2016,07/10/2016,-
2016,1 Samuel 28-29;Psalm 134;Galatians 5-6,05/15/2016,07/10/2016,-
2016,1 Samuel 30-31;Psalm 135;Ephesians 1-2,05/16/2016,07/10/2016,-
2016,2 Samuel 1-2;Psalm 136;Ephesians 3-4,05/17/2016,07/10/2016,-
2016,2 Samuel 3-4;Psalm 137;Ephesians 5-6,05/18/2016,07/10/2016,-
2016,2 Samuel 5-6;Psalm 138;Philippians 1-2,05/19/2016,07/10/2016,-
2016,2 Samuel 7-8;Psalm 139;Philippians 3-4,05/20/2016,07/10/2016,-
2016,2 Samuel 9-10;Psalm 140;Colossians 1-2,05/21/2016,07/10/2016,-
2016,2 Samuel 11-12;Psalm 141;Colossians 3-4,05/22/2016,07/10/2016,-
2016,2 Samuel 13-14;Psalm 142;1 Thessalonians 1-2,05/23/2016,07/10/2016,-
2016,2 Samuel 15-16;Psalm 143;1 Thessalonians 3-4,05/24/2016,07/10/2016,-
2016,2 Samuel 17-18;Psalm 144;1 Thessalonians 5,05/25/2016,07/10/2016,-
2016,2 Samuel 19;Psalm 145;2 Thessalonians 1-3,05/26/2016,07/10/2016,-
2016,2 Samuel 20-21;Psalm 146;1 Timothy 1-2,05/27/2016,07/10/2016,-
2016,2 Samuel 22;Psalm 147;1 Timothy 3-4,05/28/2016,07/10/2016,-
2016,2 Samuel 23-24;Psalm 148;1 Timothy 5-6,05/29/2016,07/10/2016,-
2016,1 Kings 1;Psalm 149;2 Timothy 1-2,05/30/2016,07/10/2016,-
2016,1 Kings 2-3;Psalm 150;2 Timothy 3-4,05/31/2016,07/10/2016,-
2016,1 Kings 4-5;Proverbs 1;Titus 1-3,06/01/2016,07/10/2016,-
2016,1 Kings 6-7;Proverbs 2;Philemon,06/02/2016,07/10/2016,-
2016,1 Kings 8;Proverbs 3;Hebrews 1-2,06/03/2016,07/10/2016,-
2016,1 Kings 9-10;Proverbs 4;Hebrews 3-4,06/04/2016,07/10/2016,-
2016,1 Kings 11-12;Proverbs 5;Hebrews 5-6,06/05/2016,07/10/2016,-
2016,1 Kings 13-14;Proverbs 6;Hebrews 7-8,06/06/2016,07/10/2016,-
2016,1 Kings 15-16;Proverbs 7;Hebrews 9-10,06/07/2016,07/10/2016,-
2016,1 Kings 17-18;Proverbs 8;Hebrews 11,06/08/2016,07/10/2016,-
2016,1 Kings 19-20;Proverbs 9;Hebrews 12,06/09/2016,07/10/2016,-
2016,1 Kings 21-22;Proverbs 10;Hebrews 13,06/10/2016,07/10/2016,-
2016,2 Kings 1-2;Proverbs 11;James 1,06/11/2016,07/10/2016,karwaheng apoy na hila ng isang kabayong apoy. 2Hari 2
2016,2 Kings 3-4;Proverbs 12;James 2-3,06/12/2016,07/10/2016,-
2016,2 Kings 5-6;Proverbs 13;James 4-5,06/13/2016,07/10/2016,-
2016,2 Kings 7-8;Proverbs 14;1 Peter 1,06/14/2016,07/10/2016,-
2016,2 Kings 9-10;Proverbs 15;1 Peter 2-3,06/15/2016,07/10/2016,-
2016,2 Kings 11-12;Proverbs 16;1 Peter 4-5,06/16/2016,07/10/2016,-
2016,2 Kings 13-14;Proverbs 17;2 Peter 1-3,06/17/2016,07/10/2016,-
2016,2 Kings 15-16;Proverbs 18;1 John 1-2,06/18/2016,07/10/2016,-
2016,2 Kings 17;Proverbs 19;1 John 3-4,06/19/2016,07/10/2016,-
2016,2 Kings 18-19;Proverbs 20;1 John 5,06/20/2016,07/10/2016,-
2016,2 Kings 20-21;Proverbs 21;2 John,06/21/2016,07/10/2016,-
2016,2 Kings 22-23;Proverbs 22;3 John,06/22/2016,07/10/2016,-
2016,2 Kings 24-25;Proverbs 23;Jude,06/23/2016,07/10/2016,-
2016,1 Chronicles 1;Proverbs 24;Revelation 1-2,06/24/2016,07/10/2016,-
2016,1 Chronicles 2-3;Proverbs 25;Revelation 3-5,06/25/2016,07/10/2016,-
2016,1 Chronicles 4-5;Proverbs 26;Revelation 6-7,06/26/2016,07/10/2016,-
2016,1 Chronicles 6-7;Proverbs 27;Revelation 8-10,06/27/2016,07/10/2016,-
2016,1 Chronicles 8-9;Proverbs 28;Revelation 11-12,06/28/2016,07/10/2016,-
2016,1 Chronicles 10-11;Proverbs 29;Revelation 13-14,06/29/2016,07/10/2016,-
2016,1 Chronicles 12-13;Proverbs 30;Revelation 15-17,06/30/2016,07/10/2016,-
2016,1 Chronicles 14-15;Proverbs 31;Revelation 18-19,07/01/2016,07/10/2016,-
2016,1 Chronicles 16-17;Psalm 1;Revelation 20-22,07/02/2016,07/10/2016,-
2016,1 Chronicles 18-19;Psalm 2;Matthew 1-2,07/03/2016,07/10/2016,-
2016,1 Chronicles 20-21;Psalm 3;Matthew 3-4,07/04/2016,07/10/2016,-
2016,1 Chronicles 22-23;Psalm 4;Matthew 5,07/05/2016,07/10/2016,-
2016,1 Chronicles 24-25;Psalm 5;Matthew 6-7,07/06/2016,07/10/2016,-
2016,1 Chronicles 26-27;Psalm 6;Matthew 8-9,07/07/2016,07/10/2016,-
2016,1 Chronicles 28-29;Psalm 7;Matthew 10-11,07/08/2016,07/10/2016,-
2016,2 Chronicles 1-2;Psalm 8;Matthew 12,07/09/2016,07/10/2016,-
2016,2 Chronicles 3-4;Psalm 9;Matthew 13,07/10/2016,07/10/2016,-
2016,2 Chronicles 5-6;Psalm 10;Matthew 14-15,07/11/2016,07/11/2016,-
2016,2 Chronicles 7-8;Psalm 11;Matthew 16-17,07/12/2016,07/12/2016,Si Elias at Juan Bautista ay iisa. Mateo 17:9-13
2016,2 Chronicles 9-10;Psalm 12;Matthew 18,07/13/2016,07/13/2016,Mateo18:18 Kapangyarihang magbawal at magpahintulot
2016,2 Chronicles 11-12;Psalm 13;Matthew 19-20,07/14/2016,07/14/2016,Mateo20 Ang manggagawa sa ubasan
2016,2 Chronicles 13-14;Psalm 14;Matthew 21,07/15/2016,07/15/2016,-
2016,2 Chronicles 15-16;Psalm 15;Matthew 22,07/16/2016,07/16/2016,Mateo22:30 Sapagkat sa muling pagkabuhay, ang mga tao'y hindi na magaasawa; sila ay magiging tulad ng mga anghel sa langit.
2016,2 Chronicles 17-18;Psalm 16;Matthew 23,07/17/2016,07/17/2016,-
2016,2 Chronicles 19-20;Psalm 17;Matthew 24,07/18/2016,07/18/2016,Mateo24 Ang Kalapastanganang Walang Pangalawa
2016,2 Chronicles 21-22;Psalm 18;Matthew 25,07/19/2016,07/19/2016,-
2016,2 Chronicles 23-24;Psalm 19;Matthew 26,07/20/2016,07/20/2016,-
2016,2 Chronicles 25-26;Psalm 20;Matthew 27,07/21/2016,07/21/2016,-
2016,2 Chronicles 27-28;Psalm 21;Matthew 28,07/22/2016,07/22/2016,-
2016,2 Chronicles 29-30;Psalm 22;Mark 1,07/23/2016,07/23/2016,-
2016,2 Chronicles 31-32;Psalm 23;Mark 2,07/24/2016,07/24/2016,Bagong alak, bagong sisidlang-balat! Marcos 2:22
2016,2 Chronicles 33-34;Psalm 24;Mark 3,07/25/2016,07/25/2016,-
2016,2 Chronicles 35-36;Psalm 25;Mark 4,07/26/2016,07/27/2016,-
2016,Ezra 1-2;Psalm 26;Mark 5,07/27/2016,07/27/2016,Umim at Turim
2016,Ezra 3-4;Psalm 27;Mark 6,07/28/2016,07/28/2016,-
2016,Ezra 5-6;Psalm 28;Mark 7,07/29/2016,07/29/2016,anak at tuta. Marcos7
2016,Ezra 7-8;Psalm 29;Mark 8,07/30/2016,07/30/2016,nakakita ng punongkahoy ang bulag Marcos8
2016,Ezra 9-10;Psalm 30;Mark 9,07/31/2016,07/31/2016,ang mga Hudyo ay nag-asawa ng mga hindi Hudyo Ezra9
2016,Nehemia 1-2;Psalm 31;Mark 10,08/01/2016,08/01/2016,-
2016,Nehemia 3-4;Psalm 32;Mark 11,08/02/2016,08/02/2016,-
2016,Nehemia 5-6;Psalm 33;Mark 12,08/03/2016,08/03/2016,-
2016,Nehemia 7;Psalm 34;Mark 13,08/04/2016,08/04/2016,Dapat munang maipangaral sa lahat ng bansa ang Mabuting Balita bago dumating ang wakas. Marcos13:10
2016,Nehemia 8-9;Psalm 35;Mark 14,08/05/2016,08/05/2016,-
2016,Nehemia 10-11;Psalm 36;Mark 15,08/06/2016,08/06/2016,-
2016,Nehemia 12-13;Psalm 37;Mark 16,08/07/2016,08/07/2016,-
2016,Esther 1-2;Psalm 38;Luke 1,08/08/2016,08/13/2016,-
2016,Esther 3-4;Psalm 39;Luke 2,08/09/2016,08/13/2016,-
2016,Esther 5-6;Psalm 40;Luke 3,08/10/2016,08/13/2016,-
2016,Esther 7-8;Psalm 41;Luke 4,08/11/2016,08/13/2016,-
2016,Esther 9-10;Psalm 42;Luke 5,08/12/2016,08/13/2016,-
2016,Job 1-2;Psalm 43;Luke 6,08/13/2016,08/13/2016,-
2016,Job 3-4;Psalm 44;Luke 7,08/14/2016,08/15/2016,-
2016,Job 5-6;Psalm 45;Luke 8,08/15/2016,08/15/2016,-
2016,Job 7-8;Psalm 46;Luke 9,08/16/2016,08/16/2016,-
2016,Job 9-10;Psalm 47;Luke 10,08/17/2016,08/18/2016,-
2016,Job 11-12;Psalm 48;Luke 11,08/18/2016,08/18/2016,-
2016,Job 13-14;Psalm 49;Luke 12,08/19/2016,08/19/2016,-
2016,Job 15-16;Psalm 50;Luke 13,08/20/2016,08/20/2016,-
2016,Job 17-18;Psalm 51;Luke 14,08/21/2016,08/21/2016,-
2016,Job 19-20;Psalm 52;Luke 15,08/22/2016,08/22/2016,-
2016,Job 21-22;Psalm 53;Luke 16,08/23/2016,08/23/2016,-
2016,Job 23-25;Psalm 54;Luke 17,08/24/2016,08/24/2016,-
2016,Job 26-28;Psalm 55;Luke 18,08/25/2016,08/27/2016,-
2016,Job 29-30;Psalm 56;Luke 19,08/26/2016,08/27/2016,-
2016,Job 31-32;Psalm 57;Luke 20,08/27/2016,08/28/2016,-
2016,Job 33-34;Psalm 58;Luke 21,08/28/2016,08/28/2016,-
2016,Job 35-36;Psalm 59;Luke 22,08/29/2016,09/10/2016,-
2016,Job 37-38;Psalm 60;Luke 23,08/30/2016,09/10/2016,-
2016,Job 39-40;Psalm 61;Luke 24,08/31/2016,09/10/2016,-
2016,Job 41-42;Psalm 62;John 1,09/01/2016,09/10/2016,-
2016,Ecclesiastes 1-2;Psalm 63;John 2-3,09/02/2016,09/10/2016,-
2016,Ecclesiastes 3-4;Psalm 64;John 4,09/03/2016,09/10/2016,-
2016,Ecclesiastes 5-6;Psalm 65;John 5,09/04/2016,09/10/2016,-
2016,Ecclesiastes 7-8;Psalm 66;John 6,09/05/2016,09/10/2016,-
2016,Ecclesiastes 9-10;Psalm 67;John 7,09/06/2016,09/10/2016,-
2016,Ecclesiastes 11-12;Psalm 68;John 8,09/07/2016,09/10/2016,-
